model,img_size,batch_size,precision,avg_time_ms,oom,gpu,vram_gb,cleanup
beit_large_patch16_224,64,16,bf16,39.88529586791992,False,NVIDIA_GeForce_RTX_3080_Ti,12,
beit_large_patch16_224,64,16,fp16,39.09171295166016,False,NVIDIA_GeForce_RTX_3080_Ti,12,
beit_large_patch16_224,64,16,fp32,133.6345672607422,False,NVIDIA_GeForce_RTX_3080_Ti,12,
beit_large_patch16_224,64,32,bf16,50.06796646118164,False,NVIDIA_GeForce_RTX_3080_Ti,12,
beit_large_patch16_224,64,32,fp16,49.32659149169922,False,NVIDIA_GeForce_RTX_3080_Ti,12,
beit_large_patch16_224,64,32,fp32,85.97811126708984,False,NVIDIA_GeForce_RTX_3080_Ti,12,
beit_large_patch16_224,64,64,bf16,73.28562927246094,False,NVIDIA_GeForce_RTX_3080_Ti,12,
beit_large_patch16_224,64,64,fp16,71.35539245605469,False,NVIDIA_GeForce_RTX_3080_Ti,12,
beit_large_patch16_224,64,64,fp32,144.89488220214844,False,NVIDIA_GeForce_RTX_3080_Ti,12,
beit_large_patch16_224,128,16,bf16,72.9164810180664,False,NVIDIA_GeForce_RTX_3080_Ti,12,
beit_large_patch16_224,128,16,fp16,71.87606048583984,False,NVIDIA_GeForce_RTX_3080_Ti,12,
beit_large_patch16_224,128,16,fp32,146.15040588378906,False,NVIDIA_GeForce_RTX_3080_Ti,12,
beit_large_patch16_224,128,32,bf16,114.4985580444336,False,NVIDIA_GeForce_RTX_3080_Ti,12,
beit_large_patch16_224,128,32,fp16,113.1323699951172,False,NVIDIA_GeForce_RTX_3080_Ti,12,
beit_large_patch16_224,128,32,fp32,258.8016662597656,False,NVIDIA_GeForce_RTX_3080_Ti,12,
beit_large_patch16_224,128,64,bf16,193.43565368652344,False,NVIDIA_GeForce_RTX_3080_Ti,12,
beit_large_patch16_224,128,64,fp16,189.0544586181641,False,NVIDIA_GeForce_RTX_3080_Ti,12,
beit_large_patch16_224,128,64,fp32,,True,NVIDIA_GeForce_RTX_3080_Ti,12,
beit_large_patch16_224,224,16,bf16,163.093505859375,False,NVIDIA_GeForce_RTX_3080_Ti,12,
