model,img_size,batch_size,precision,avg_time_ms,oom,gpu,vram_gb,cleanup
beit_large_patch16_224,64,16,bf16,26.77503967285156,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,64,16,fp16,26.9040641784668,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,64,16,fp32,35.079681396484375,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,64,32,bf16,31.42092704772949,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,64,32,fp16,31.436288833618164,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,64,32,fp32,47.93600082397461,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,64,64,bf16,39.74809646606445,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,64,64,fp16,39.8842887878418,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,64,64,fp32,74.16268920898438,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,128,16,bf16,39.91449737548828,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,128,16,fp16,40.149505615234375,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,128,16,fp32,73.72748565673828,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,128,32,bf16,56.12134552001953,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,128,32,fp16,57.22880172729492,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,128,32,fp32,125.28380584716795,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,128,64,bf16,91.80467224121094,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,128,64,fp16,92.5143051147461,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,128,64,fp32,226.76019287109372,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,224,16,bf16,77.94226837158203,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,224,16,fp16,79.58271789550781,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,224,16,fp32,178.95782470703125,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,224,32,bf16,142.06463623046875,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,224,32,fp16,139.76063537597656,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,224,32,fp32,345.1934814453125,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,224,64,bf16,279.1285705566406,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,224,64,fp16,273.8524169921875,False,NVIDIA_GeForce_RTX_4090,24,
beit_large_patch16_224,224,64,fp32,,True,NVIDIA_GeForce_RTX_4090,24,
coatnet_0_rw_224,64,16,bf16,5.550079822540283,False,NVIDIA_GeForce_RTX_4090,24,
coatnet_0_rw_224,64,16,fp16,5.06112003326416,False,NVIDIA_GeForce_RTX_4090,24,
