model,img_size,batch_size,precision,avg_time_ms,oom,gpu,vram_gb,cleanup
beit_large_patch16_224,64,16,bf16,87.45830535888672,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,64,16,fp16,87.1846694946289,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,64,16,fp32,109.71392059326172,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,64,32,bf16,101.42809295654295,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,64,32,fp16,101.04064178466795,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,64,32,fp32,155.14300537109375,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,64,64,bf16,132.3151397705078,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,64,64,fp16,130.3872833251953,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,64,64,fp32,246.03746032714844,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,128,16,bf16,132.36517333984375,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,128,16,fp16,129.16879272460938,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,128,16,fp32,247.97747802734372,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,128,32,bf16,193.3214569091797,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,128,32,fp16,192.6681671142578,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,128,32,fp32,425.4620361328125,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,128,64,bf16,342.6390380859375,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,128,64,fp16,340.50439453125,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,128,64,fp32,797.5643920898438,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,224,16,bf16,277.07086181640625,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,224,16,fp16,276.3200988769531,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,224,16,fp32,648.5155639648438,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,224,32,bf16,523.052001953125,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,224,32,fp16,521.1831665039062,False,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,224,32,fp32,,True,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,224,64,bf16,,True,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,224,64,fp16,,True,NVIDIA_GeForce_RTX_4060_Ti,16,
beit_large_patch16_224,224,64,fp32,,True,NVIDIA_GeForce_RTX_4060_Ti,16,
coatnet_0_rw_224,64,16,bf16,11.14198398590088,False,NVIDIA_GeForce_RTX_4060_Ti,16,
coatnet_0_rw_224,64,16,fp16,10.997759819030762,False,NVIDIA_GeForce_RTX_4060_Ti,16,
coatnet_0_rw_224,64,16,fp32,12.195792198181152,False,NVIDIA_GeForce_RTX_4060_Ti,16,
coatnet_0_rw_224,64,32,bf16,14.618623733520508,False,NVIDIA_GeForce_RTX_4060_Ti,16,
coatnet_0_rw_224,64,32,fp16,13.410304069519045,False,NVIDIA_GeForce_RTX_4060_Ti,16,
coatnet_0_rw_224,64,32,fp32,17.56108856201172,False,NVIDIA_GeForce_RTX_4060_Ti,16,
coatnet_0_rw_224,64,64,bf16,22.07212829589844,False,NVIDIA_GeForce_RTX_4060_Ti,16,
