model,img_size,batch_size,precision,avg_time_ms,oom,gpu,vram_gb,cleanup
beit_large_patch16_224,64,16,bf16,97.112060546875,False,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,64,16,fp16,96.97945404052734,False,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,64,16,fp32,138.0858917236328,False,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,64,32,bf16,118.13785552978516,False,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,64,32,fp16,115.11705780029295,False,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,64,32,fp32,201.00146484375,False,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,64,64,bf16,158.6493377685547,False,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,64,64,fp16,158.0262451171875,False,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,64,64,fp32,333.080078125,False,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,128,16,bf16,158.108154296875,False,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,128,16,fp16,157.67295837402344,False,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,128,16,fp32,332.19122314453125,False,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,128,32,bf16,,True,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,128,32,fp16,,True,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,128,32,fp32,,True,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,128,64,bf16,,True,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,128,64,fp16,,True,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,128,64,fp32,,True,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,224,16,bf16,,True,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,224,16,fp16,,True,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,224,16,fp32,,True,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,224,32,bf16,,True,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,224,32,fp16,,True,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,224,32,fp32,,True,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,224,64,bf16,,True,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,224,64,fp16,,True,NVIDIA_GeForce_RTX_4060,8,
beit_large_patch16_224,224,64,fp32,,True,NVIDIA_GeForce_RTX_4060,8,
coatnet_0_rw_224,64,16,bf16,12.297216415405272,False,NVIDIA_GeForce_RTX_4060,8,
coatnet_0_rw_224,64,16,fp16,11.879424095153809,False,NVIDIA_GeForce_RTX_4060,8,
coatnet_0_rw_224,64,16,fp32,13.818880081176758,False,NVIDIA_GeForce_RTX_4060,8,
coatnet_0_rw_224,64,32,bf16,17.138687133789062,False,NVIDIA_GeForce_RTX_4060,8,
coatnet_0_rw_224,64,32,fp16,15.46393585205078,False,NVIDIA_GeForce_RTX_4060,8,
coatnet_0_rw_224,64,32,fp32,21.078527450561523,False,NVIDIA_GeForce_RTX_4060,8,
coatnet_0_rw_224,64,64,bf16,27.128320693969727,False,NVIDIA_GeForce_RTX_4060,8,
coatnet_0_rw_224,64,64,fp16,23.936511993408203,False,NVIDIA_GeForce_RTX_4060,8,
coatnet_0_rw_224,64,64,fp32,39.007232666015625,False,NVIDIA_GeForce_RTX_4060,8,
coatnet_0_rw_224,128,16,bf16,24.60723114013672,False,NVIDIA_GeForce_RTX_4060,8,
coatnet_0_rw_224,128,16,fp16,21.69548797607422,False,NVIDIA_GeForce_RTX_4060,8,
coatnet_0_rw_224,128,16,fp32,35.20819091796875,False,NVIDIA_GeForce_RTX_4060,8,
coatnet_0_rw_224,128,32,bf16,45.13689422607422,False,NVIDIA_GeForce_RTX_4060,8,
coatnet_0_rw_224,128,32,fp16,39.50950241088867,False,NVIDIA_GeForce_RTX_4060,8,
coatnet_0_rw_224,128,32,fp32,72.0926742553711,False,NVIDIA_GeForce_RTX_4060,8,
coatnet_0_rw_224,128,64,bf16,88.37836456298828,False,NVIDIA_GeForce_RTX_4060,8,
