model,img_size,batch_size,precision,avg_time_ms,oom,gpu,vram_gb,cleanup
beit_large_patch16_224,64,16,bf16,39.6497917175293,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,64,16,fp16,38.91865539550781,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,64,16,fp32,55.90476989746094,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,64,32,bf16,49.45817565917969,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,64,32,fp16,48.9175033569336,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,64,32,fp32,85.73542022705078,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,64,64,bf16,71.74553680419922,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,64,64,fp16,71.05228424072266,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,64,64,fp32,144.80026245117188,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,128,16,bf16,72.3056640625,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,128,16,fp16,71.53561401367188,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,128,16,fp32,144.92620849609375,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,128,32,bf16,113.35372924804688,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,128,32,fp16,112.33843231201172,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,128,32,fp32,252.9776611328125,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,128,64,bf16,192.58726501464844,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,128,64,fp16,189.37139892578125,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,128,64,fp32,472.9313354492188,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,224,16,bf16,162.8257293701172,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,224,16,fp16,156.6684112548828,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,224,16,fp32,404.80511474609375,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,224,32,bf16,288.7869567871094,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,224,32,fp16,280.29644775390625,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,224,32,fp32,738.798583984375,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,224,64,bf16,543.994873046875,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,224,64,fp16,524.4067993164062,False,NVIDIA_GeForce_RTX_3090,24,
beit_large_patch16_224,224,64,fp32,,True,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,64,16,bf16,7.885824203491211,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,64,16,fp16,7.212031841278076,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,64,16,fp32,8.418815612792969,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,64,32,bf16,9.927680015563965,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,64,32,fp16,9.506815910339355,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,64,32,fp32,12.72268772125244,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,64,64,bf16,14.636544227600098,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,64,64,fp16,12.826623916625977,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,64,64,fp32,20.57881546020508,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,128,16,bf16,14.149120330810549,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,128,16,fp16,12.86297607421875,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,128,16,fp32,18.653696060180664,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,128,32,bf16,23.20025634765625,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,128,32,fp16,19.907072067260746,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,128,32,fp32,32.685569763183594,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,128,64,bf16,41.55699157714844,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,128,64,fp16,35.668479919433594,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,128,64,fp32,63.03590393066406,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,224,16,bf16,35.442176818847656,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,224,16,fp16,31.34054374694824,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,224,16,fp32,54.76607894897461,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,224,32,bf16,63.40044784545898,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,224,32,fp16,54.74252700805664,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,224,32,fp32,102.71385955810548,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,224,64,bf16,122.6833953857422,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,224,64,fp16,106.93990325927734,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_0_rw_224,224,64,fp32,204.55474853515625,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,64,16,bf16,12.083200454711914,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,64,16,fp16,11.146240234375,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,64,16,fp32,14.028287887573242,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,64,32,bf16,16.624128341674805,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,64,32,fp16,14.906368255615234,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,64,32,fp32,21.14559936523437,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,64,64,bf16,24.572927474975582,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,64,64,fp16,21.915136337280277,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,64,64,fp32,34.83135986328125,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,128,16,bf16,23.85919952392578,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,128,16,fp16,21.426176071166992,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,128,16,fp32,32.02969741821289,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,128,32,bf16,38.96319961547852,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,128,32,fp16,33.92563247680664,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,128,32,fp32,56.36608123779297,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,128,64,bf16,70.6539535522461,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,128,64,fp16,61.66374588012695,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,128,64,fp32,109.43385314941406,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,224,16,bf16,60.50048065185547,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,224,16,fp16,54.58534240722656,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,224,16,fp32,97.54214477539062,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,224,32,bf16,109.89158630371094,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,224,32,fp16,97.08441925048828,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,224,32,fp32,183.5002899169922,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,224,64,bf16,214.4936981201172,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,224,64,fp16,193.8314208984375,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_1_rw_224,224,64,fp32,372.2557373046875,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,64,16,bf16,16.56831932067871,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,64,16,fp16,15.38764762878418,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,64,16,fp32,20.350976943969727,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,64,32,bf16,22.95244789123535,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,64,32,fp16,21.198848724365234,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,64,32,fp32,30.30286407470703,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,64,64,bf16,34.788352966308594,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,64,64,fp16,32.58265686035156,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,64,64,fp32,51.112449645996094,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,128,16,bf16,33.26105499267578,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,128,16,fp16,30.31808090209961,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,128,16,fp32,48.08448028564453,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,128,32,bf16,56.356353759765625,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,128,32,fp16,50.69670486450195,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,128,32,fp32,88.3737564086914,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,128,64,bf16,102.47526550292967,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,128,64,fp16,92.10368347167967,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,128,64,fp32,166.8275146484375,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,224,16,bf16,88.76083374023438,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,224,16,fp16,80.23091125488281,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,224,16,fp32,151.93087768554688,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,224,32,bf16,163.66131591796875,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,224,32,fp16,148.4753875732422,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,224,32,fp32,284.8455810546875,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,224,64,bf16,319.9662170410156,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,224,64,fp16,289.776123046875,False,NVIDIA_GeForce_RTX_3090,24,
coatnet_2_rw_224,224,64,fp32,,True,NVIDIA_GeForce_RTX_3090,24,
convnext_base,64,16,bf16,15.491583824157717,False,NVIDIA_GeForce_RTX_3090,24,
convnext_base,64,16,fp16,15.572480201721191,False,NVIDIA_GeForce_RTX_3090,24,
convnext_base,64,16,fp32,21.594623565673828,False,NVIDIA_GeForce_RTX_3090,24,
convnext_base,64,32,bf16,19.60857582092285,False,NVIDIA_GeForce_RTX_3090,24,
convnext_base,64,32,fp16,19.85740852355957,False,NVIDIA_GeForce_RTX_3090,24,
