model,img_size,batch_size,precision,avg_time_ms,oom,gpu,vram_gb,cleanup
beit_large_patch16_224,64,16,bf16,76.98892974853516,False,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,64,16,fp16,75.54300689697266,False,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,64,16,fp32,98.50667572021484,False,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,64,32,bf16,93.16710662841795,False,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,64,32,fp16,95.478271484375,False,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,64,32,fp32,148.71603393554688,False,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,64,64,bf16,134.82138061523438,False,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,64,64,fp16,140.11639404296875,False,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,64,64,fp32,240.2896270751953,False,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,128,16,bf16,135.28472900390625,False,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,128,16,fp16,140.7641143798828,False,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,128,16,fp32,241.4633026123047,False,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,128,32,bf16,,True,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,128,32,fp16,,True,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,128,32,fp32,,True,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,128,64,bf16,,True,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,128,64,fp16,,True,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,128,64,fp32,,True,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,224,16,bf16,,True,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,224,16,fp16,,True,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,224,16,fp32,,True,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,224,32,bf16,,True,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,224,32,fp16,,True,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,224,32,fp32,,True,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,224,64,bf16,,True,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,224,64,fp16,,True,NVIDIA_GeForce_RTX_3070,8,
beit_large_patch16_224,224,64,fp32,,True,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,64,16,bf16,10.793312072753906,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,64,16,fp16,9.878527641296388,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,64,16,fp32,13.410240173339844,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,64,32,bf16,15.207903861999512,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,64,32,fp16,13.692336082458496,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,64,32,fp32,21.03193664550781,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,64,64,bf16,23.93446350097656,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,64,64,fp16,20.88857650756836,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,64,64,fp32,36.21478271484375,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,128,16,bf16,22.8408317565918,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,128,16,fp16,20.704191207885746,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,128,16,fp32,32.66960144042969,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,128,32,bf16,39.81670379638672,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,128,32,fp16,34.61376190185547,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,128,32,fp32,59.57734298706055,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,128,64,bf16,72.052734375,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,128,64,fp16,63.38351821899414,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,128,64,fp32,114.1217269897461,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,224,16,bf16,60.46771240234375,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,224,16,fp16,54.457855224609375,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,224,16,fp32,99.7017593383789,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,224,32,bf16,112.2380828857422,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,224,32,fp16,99.04730987548828,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,224,32,fp32,189.8690490722656,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,224,64,bf16,430.45989990234375,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,224,64,fp16,390.1649169921875,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_0_rw_224,224,64,fp32,,True,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,64,16,bf16,17.688575744628906,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,64,16,fp16,16.862207412719727,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,64,16,fp32,27.09862327575684,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,64,32,bf16,25.172992706298828,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,64,32,fp16,22.908416748046875,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,64,32,fp32,36.02739334106445,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,64,64,bf16,40.392704010009766,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,64,64,fp16,35.578880310058594,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,64,64,fp32,61.65350341796875,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,128,16,bf16,38.58943939208984,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,128,16,fp16,34.35929489135742,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,128,16,fp32,56.43366241455078,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,128,32,bf16,67.2174072265625,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,128,32,fp16,60.2239990234375,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,128,32,fp32,103.91910552978516,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,128,64,bf16,122.58099365234376,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,128,64,fp16,109.57054138183594,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,128,64,fp32,,True,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,224,16,bf16,104.06092834472656,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,224,16,fp16,96.2595672607422,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,224,16,fp32,177.982421875,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,224,32,bf16,195.8270263671875,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,224,32,fp16,176.67430114746094,False,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,224,32,fp32,,True,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,224,64,bf16,,True,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,224,64,fp16,,True,NVIDIA_GeForce_RTX_3070,8,
coatnet_1_rw_224,224,64,fp32,,True,NVIDIA_GeForce_RTX_3070,8,
coatnet_2_rw_224,64,16,bf16,27.116544723510746,False,NVIDIA_GeForce_RTX_3070,8,
