model,img_size,batch_size,precision,avg_time_ms,oom,gpu,vram_gb,cleanup
beit_large_patch16_224,64,16,bf16,76.0811538696289,False,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,64,16,fp16,76.23833465576172,False,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,64,16,fp32,106.84416198730467,False,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,64,32,bf16,104.8622055053711,False,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,64,32,fp16,98.28607940673828,False,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,64,32,fp32,160.716796875,False,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,64,64,bf16,136.94618225097656,False,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,64,64,fp16,135.71942138671875,False,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,64,64,fp32,276.98126220703125,False,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,128,16,bf16,137.41976928710938,False,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,128,16,fp16,136.13465881347656,False,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,128,16,fp32,277.5249938964844,False,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,128,32,bf16,,True,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,128,32,fp16,,True,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,128,32,fp32,,True,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,128,64,bf16,,True,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,128,64,fp16,,True,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,128,64,fp32,,True,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,224,16,bf16,,True,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,224,16,fp16,,True,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,224,16,fp32,,True,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,224,32,bf16,,True,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,224,32,fp16,,True,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,224,32,fp32,,True,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,224,64,bf16,,True,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,224,64,fp16,,True,NVIDIA_GeForce_RTX_3060_Ti,8,
beit_large_patch16_224,224,64,fp32,,True,NVIDIA_GeForce_RTX_3060_Ti,8,
coatnet_0_rw_224,64,16,bf16,11.365376472473145,False,NVIDIA_GeForce_RTX_3060_Ti,8,
coatnet_0_rw_224,64,16,fp16,10.61888027191162,False,NVIDIA_GeForce_RTX_3060_Ti,8,
coatnet_0_rw_224,64,16,fp32,14.023167610168455,False,NVIDIA_GeForce_RTX_3060_Ti,8,
coatnet_0_rw_224,64,32,bf16,16.218624114990234,False,NVIDIA_GeForce_RTX_3060_Ti,8,
coatnet_0_rw_224,64,32,fp16,14.259200096130373,False,NVIDIA_GeForce_RTX_3060_Ti,8,
coatnet_0_rw_224,64,32,fp32,22.20800018310547,False,NVIDIA_GeForce_RTX_3060_Ti,8,
coatnet_0_rw_224,64,64,bf16,25.69430351257324,False,NVIDIA_GeForce_RTX_3060_Ti,8,
coatnet_0_rw_224,64,64,fp16,22.164480209350582,False,NVIDIA_GeForce_RTX_3060_Ti,8,
coatnet_0_rw_224,64,64,fp32,37.95302581787109,False,NVIDIA_GeForce_RTX_3060_Ti,8,
coatnet_0_rw_224,128,16,bf16,24.41472053527832,False,NVIDIA_GeForce_RTX_3060_Ti,8,
coatnet_0_rw_224,128,16,fp16,21.188608169555664,False,NVIDIA_GeForce_RTX_3060_Ti,8,
coatnet_0_rw_224,128,16,fp32,34.093055725097656,False,NVIDIA_GeForce_RTX_3060_Ti,8,
coatnet_0_rw_224,128,32,bf16,42.01472091674805,False,NVIDIA_GeForce_RTX_3060_Ti,8,
coatnet_0_rw_224,128,32,fp16,36.082176208496094,False,NVIDIA_GeForce_RTX_3060_Ti,8,
coatnet_0_rw_224,128,32,fp32,62.71692657470703,False,NVIDIA_GeForce_RTX_3060_Ti,8,
coatnet_0_rw_224,128,64,bf16,76.41395568847656,False,NVIDIA_GeForce_RTX_3060_Ti,8,
coatnet_0_rw_224,128,64,fp16,65.50067138671875,False,NVIDIA_GeForce_RTX_3060_Ti,8,
coatnet_0_rw_224,128,64,fp32,118.3078384399414,False,NVIDIA_GeForce_RTX_3060_Ti,8,
